GCC	6	29.51	20.01	20.17	30.30	0.00	0.00
GCC	7	29.52	19.99	20.19	30.30	0.00	0.00
GCC	8	29.53	20.01	20.17	30.30	0.00	0.00
GCC	9	29.53	20.00	20.18	30.30	0.00	0.00
GCC	10	29.52	19.99	20.17	30.32	0.00	0.00
GCC	11	29.54	19.99	20.18	30.30	0.00	0.00
GCC	12	29.53	19.99	20.16	30.32	0.00	0.00
GCC	13	29.52	19.98	20.17	30.33	0.00	0.00
GCC	14	29.52	20.00	20.17	30.30	0.00	0.00
GCC	15	29.52	19.99	20.17	30.32	0.00	0.00
GCC	16	29.51	20.00	20.17	30.31	0.00	0.00
GCC	17	29.51	19.98	20.18	30.33	0.00	0.00
GCC	18	29.49	19.99	20.18	30.33	0.00	0.00
GCC	19	29.53	19.98	20.17	30.32	0.00	0.00
GCC	20	29.52	20.00	20.18	30.31	0.00	0.00
GCC	21	29.51	20.01	20.17	30.31	0.00	0.00
GCC	22	29.54	19.99	20.17	30.30	0.00	0.00
GCC	23	29.53	20.00	20.16	30.32	0.00	0.00
GCC	24	29.51	20.01	20.18	30.30	0.00	0.00
GCC	25	29.53	19.99	20.17	30.32	0.00	0.00
GCC	26	29.54	19.99	20.15	30.32	0.00	0.00
GCC	27	29.53	20.01	20.14	30.32	0.00	0.00
GCC	28	29.53	19.99	20.16	30.31	0.00	0.00
GCC	29	29.53	19.99	20.16	30.33	0.00	0.00
GCC	30	29.52	20.00	20.16	30.33	0.00	0.00
GCC	31	29.52	20.00	20.17	30.31	0.00	0.00
GCC	32	29.51	19.99	20.20	30.30	0.00	0.00
GCC	33	29.52	20.00	20.18	30.30	0.00	0.00
GCC	34	29.51	20.00	20.18	30.31	0.00	0.00
GCC	35	29.52	20.02	20.16	30.30	0.00	0.00
GCC	36	29.51	20.02	20.16	30.31	0.00	0.00
GCC	37	29.53	20.02	20.17	30.29	0.00	0.00
GCC	38	29.51	20.01	20.20	30.29	0.00	0.00
GCC	39	29.53	20.02	20.17	30.29	0.00	0.00
GCC	40	29.51	20.02	20.16	30.31	0.00	0.00
GCC	41	29.52	20.02	20.16	30.30	0.00	0.00
GCC	42	29.51	20.00	20.18	30.31	0.00	0.00
GCC	43	29.52	20.00	20.18	30.30	0.00	0.00
GCC	44	29.51	19.99	20.20	30.30	0.00	0.00
GCC	45	29.52	20.00	20.17	30.31	0.00	0.00
GCC	46	29.52	20.00	20.16	30.33	0.00	0.00
GCC	47	29.53	19.99	20.16	30.33	0.00	0.00
GCC	48	29.53	19.99	20.16	30.31	0.00	0.00
GCC	49	29.53	20.01	20.14	30.32	0.00	0.00
GCC	50	29.54	19.99	20.15	30.32	0.00	0.00
GCC	51	29.53	19.99	20.17	30.32	0.00	0.00
GCC	52	29.51	20.01	20.18	30.30	0.00	0.00
GCC	53	29.53	20.00	20.16	30.32	0.00	0.00
GCC	54	29.54	19.99	20.17	30.30	0.00	0.00
GCC	55	29.51	20.01	20.17	30.31	0.00	0.00
GCC	56	29.52	20.00	20.18	30.31	0.00	0.00
GCC	57	29.53	19.98	20.17	30.32	0.00	0.00
GCC	58	29.49	19.99	20.18	30.33	0.00	0.00
GCC	59	29.51	19.98	20.18	30.33	0.00	0.00
GCC	60	29.51	20.00	20.17	30.31	0.00	0.00
GCC	61	29.52	19.99	20.17	30.32	0.00	0.00
GCC	62	29.52	20.00	20.17	30.30	0.00	0.00
GCC	63	29.52	19.98	20.17	30.33	0.00	0.00
GCC	64	29.53	19.99	20.16	30.32	0.00	0.00
GCC	65	29.54	19.99	20.18	30.30	0.00	0.00
GCC	66	29.52	19.99	20.17	30.32	0.00	0.00
GCC	67	29.53	20.00	20.18	30.30	0.00	0.00
GCC	68	29.53	20.01	20.17	30.30	0.00	0.00
GCC	69	29.52	19.99	20.19	30.30	0.00	0.00
GCC	70	29.51	20.01	20.17	30.30	0.00	0.00
GCC	71	29.50	20.01	20.16	30.32	0.00	0.00
GCC	72	29.50	20.01	20.17	30.32	0.00	0.00
GCC	73	29.51	20.00	20.18	30.32	0.00	0.00
GCC	74	29.51	20.00	20.17	30.32	0.00	0.00
GCC	75	29.51	20.01	20.17	30.31	0.00	0.00
# ACGT content per cycle, read oriented. Use `grep ^GCT | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]
GCT	1	29.91	20.08	20.09	29.92
GCT	2	29.93	20.09	20.08	29.90
GCT	3	29.92	20.08	20.09	29.90
GCT	4	29.92	20.09	20.09	29.90
GCT	5	29.92	20.09	20.08	29.90
GCT	6	29.93	20.09	20.09	29.89
GCT	7	29.92	20.09	20.10	29.89
GCT	8	29.93	20.07	20.11	29.89
GCT	9	29.92	20.08	20.10	29.90
GCT	10	29.92	20.08	20.08	29.92
GCT	11	29.91	20.10	20.07	29.92
GCT	12	29.91	20.07	20.08	29.94
GCT	13	29.91	20.07	20.08	29.94
GCT	14	29.90	20.10	20.08	29.93
GCT	15	29.92	20.10	20.06	29.92
GCT	16	29.92	20.11	20.07	29.91
GCT	17	29.92	20.09	20.07	29.93
GCT	18	29.91	20.09	20.08	29.92
GCT	19	29.92	20.09	20.06	29.93
GCT	20	29.90	20.10	20.08	29.93
GCT	21	29.89	20.10	20.09	29.93
GCT	22	29.91	20.08	20.08	29.93
GCT	23	29.93	20.07	20.09	29.92
GCT	24	29.90	20.10	20.08	29.92
GCT	25	29.92	20.07	20.08	29.92
GCT	26	29.94	20.06	20.08	29.92
GCT	27	29.92	20.08	20.07	29.93
GCT	28	29.90	20.08	20.08	29.94
GCT	29	29.92	20.08	20.06	29.93
GCT	30	29.92	20.09	20.07	29.92
GCT	31	29.90	20.09	20.08	29.93
GCT	32	29.90	20.09	20.10	29.91
GCT	33	29.90	20.08	20.10	29.93
GCT	34	29.92	20.09	20.08	29.90
GCT	35	29.90	20.08	20.10	29.93
GCT	36	29.90	20.09	20.09	29.92
GCT	37	29.91	20.10	20.09	29.91
GCT	38	29.90	20.10	20.10	29.90
GCT	39	29.91	20.09	20.10	29.91
GCT	40	29.92	20.09	20.09	29.90
GCT	41	29.93	20.10	20.08	29.90
GCT	42	29.90	20.08	20.09	29.92
GCT	43	29.93	20.10	20.08	29.90
GCT	44	29.91	20.10	20.09	29.90
GCT	45	29.93	20.08	20.09	29.90
GCT	46	29.92	20.07	20.09	29.92
GCT	47	29.93	20.06	20.08	29.92
GCT	48	29.94	20.08	20.08	29.90
GCT	49	29.93	20.07	20.08	29.92
GCT	50	29.92	20.08	20.06	29.94
GCT	51	29.92	20.08	20.07	29.92
GCT	52	29.92	20.08	20.10	29.90
GCT	53	29.92	20.09	20.07	29.93
GCT	54	29.93	20.08	20.08	29.91
GCT	55	29.93	20.09	20.10	29.89
GCT	56	29.93	20.08	20.10	29.90
GCT	57	29.93	20.06	20.09	29.92
GCT	58	29.92	20.08	20.09	29.91
GCT	59	29.93	20.07	20.09	29.92
GCT	60	29.91	20.07	20.11	29.92
GCT	61	29.92	20.06	20.10	29.92
GCT	62	29.93	20.08	20.10	29.90
GCT	63	29.94	20.08	20.07	29.91
GCT	64	29.94	20.08	20.07	29.91
GCT	65	29.92	20.07	20.10	29.91
GCT	66	29.92	20.08	20.08	29.92
GCT	67	29.90	20.10	20.08	29.92
GCT	68	29.89	20.11	20.07	29.93
GCT	69	29.89	20.10	20.09	29.92
GCT	70	29.89	20.09	20.09	29.93
GCT	71	29.90	20.08	20.09	29.92
GCT	72	29.90	20.09	20.09	29.92
GCT	73	29.90	20.09	20.08	29.92
GCT	74	29.90	20.08	20.09	29.93
GCT	75	29.92	20.09	20.08	29.91
# ACGT content per cycle for first fragments. Use `grep ^FBC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
FBC	1	29.50	20.01	20.17	30.31	0.00	0.00
FBC	2	29.50	20.02	20.17	30.31	0.00	0.00
FBC	3	29.50	20.00	20.19	30.31	0.00	0.00
FBC	4	29.50	20.01	20.18	30.31	0.00	0.00
FBC	5	29.50	20.02	20.16	30.31	0.00	0.00
FBC	6	29.51	20.00	20.20	30.29	0.00	0.00
FBC	7	29.51	19.98	20.21	30.30	0.00	0.00
FBC	8	29.53	19.98	20.20	30.30	0.00	0.00
FBC	9	29.53	19.96	20.19	30.31	0.00	0.00
FBC	10	29.50	19.99	20.17	30.34	0.00	0.00
FBC	11	29.52	20.00	20.17	30.32	0.00	0.00
FBC	12	29.52	19.98	20.16	30.35	0.00	0.00
FBC	13	29.51	19.97	20.17	30.36	0.00	0.00
FBC	14	29.51	20.00	20.16	30.33	0.00	0.00
FBC	15	29.52	19.97	20.16	30.35	0.00	0.00
FBC	16	29.53	20.01	20.14	30.33	0.00	0.00
FBC	17	29.48	19.99	20.18	30.35	0.00	0.00
FBC	18	29.48	19.99	20.19	30.34	0.00	0.00
FBC	19	29.50	19.98	20.18	30.34	0.00	0.00
FBC	20	29.49	20.02	20.19	30.31	0.00	0.00
FBC	21	29.47	20.02	20.18	30.32	0.00	0.00
FBC	22	29.53	19.98	20.18	30.32	0.00	0.00
FBC	23	29.53	19.99	20.17	30.31	0.00	0.00
FBC	24	29.48	20.04	20.19	30.30	0.00	0.00
FBC	25	29.50	20.02	20.19	30.29	0.00	0.00
FBC	26	29.54	19.98	20.16	30.32	0.00	0.00
FBC	27	29.51	20.03	20.13	30.33	0.00	0.00
FBC	28	29.50	19.99	20.16	30.35	0.00	0.00
FBC	29	29.51	20.00	20.14	30.35	0.00	0.00
FBC	30	29.50	20.02	20.15	30.33	0.00	0.00
FBC	31	29.50	20.00	20.16	30.33	0.00	0.00
FBC	32	29.53	19.98	20.20	30.29	0.00	0.00
FBC	33	29.52	20.00	20.19	30.30	0.00	0.00
FBC	34	29.54	20.00	20.16	30.30	0.00	0.00
FBC	35	29.51	20.01	20.16	30.31	0.00	0.00
FBC	36	29.48	20.04	20.17	30.31	0.00	0.00
FBC	37	29.52	20.03	20.18	30.27	0.00	0.00
FBC	38	29.51	20.01	20.20	30.29	0.00	0.00
FBC	39	29.53	20.00	20.16	30.31	0.00	0.00
FBC	40	29.54	19.99	20.15	30.31	0.00	0.00
FBC	41	29.53	20.02	20.16	30.29	0.00	0.00
FBC	42	29.49	20.00	20.19	30.32	0.00	0.00
FBC	43	29.53	20.00	20.16	30.31	0.00	0.00
FBC	44	29.50	20.00	20.19	30.31	0.00	0.00
FBC	45	29.53	19.99	20.18	30.29	0.00	0.00
FBC	46	29.53	19.97	20.17	30.33	0.00	0.00
FBC	47	29.54	19.98	20.18	30.30	0.00	0.00
FBC	48	29.56	20.00	20.17	30.27	0.00	0.00
FBC	49	29.54	19.99	20.16	30.31	0.00	0.00
FBC	50	29.53	20.00	20.15	30.32	0.00	0.00
FBC	51	29.55	19.96	20.14	30.34	0.00	0.00
FBC	52	29.55	19.98	20.17	30.30	0.00	0.00
FBC	53	29.53	20.00	20.15	30.32	0.00	0.00
FBC	54	29.55	20.00	20.17	30.29	0.00	0.00
FBC	55	29.54	20.00	20.17	30.29	0.00	0.00
FBC	56	29.54	19.98	20.17	30.31	0.00	0.00
FBC	57	29.55	19.98	20.16	30.31	0.00	0.00
FBC	58	29.50	19.99	20.17	30.33	0.00	0.00
FBC	59	29.54	19.96	20.18	30.32	0.00	0.00
FBC	60	29.50	20.00	20.20	30.30	0.00	0.00
FBC	61	29.52	20.02	20.18	30.29	0.00	0.00
FBC	62	29.54	20.01	20.18	30.28	0.00	0.00
FBC	63	29.53	20.00	20.18	30.30	0.00	0.00
FBC	64	29.54	20.01	20.17	30.28	0.00	0.00
FBC	65	29.56	19.99	20.18	30.28	0.00	0.00
FBC	66	29.54	19.99	20.17	30.29	0.00	0.00
FBC	67	29.52	20.04	20.16	30.28	0.00	0.00
FBC	68	29.53	20.04	20.13	30.30	0.00	0.00
FBC	69	29.52	20.01	20.17	30.29	0.00	0.00
FBC	70	29.51	20.01	20.15	30.32	0.00	0.00
FBC	71	29.51	20.00	20.16	30.33	0.00	0.00
FBC	72	29.50	20.00	20.16	30.33	0.00	0.00
FBC	73	29.51	20.00	20.16	30.33	0.00	0.00
FBC	74	29.52	19.98	20.17	30.33	0.00	0.00
FBC	75	29.52	20.00	20.16	30.31	0.00	0.00
# ACGT raw counters for first fragments. Use `grep ^FTC | cut -f 2-` to extract this part. The columns are: A,C,G,T,N base counters
FTC	10224867	6927165	6986641	10499552	0
# ACGT content per cycle for last fragments. Use `grep ^LBC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
LBC	1	29.52	20.00	20.16	30.31	0.00	0.00
LBC	2	29.52	19.98	20.17	30.33	0.00	0.00
LBC	3	29.51	20.00	20.16	30.33	0.00	0.00
LBC	4	29.50	20.00	20.16	30.33	0.00	0.00
LBC	5	29.51	20.00	20.16	30.33	0.00	0.00
LBC	6	29.51	20.01	20.15	30.32	0.00	0.00
LBC	7	29.52	20.01	20.17	30.29	0.00	0.00
LBC	8	29.53	20.04	20.13	30.30	0.00	0.00
LBC	9	29.52	20.04	20.16	30.28	0.00	0.00
LBC	10	29.54	19.99	20.17	30.29	0.00	0.00
LBC	11	29.56	19.99	20.18	30.28	0.00	0.00
LBC	12	29.54	20.01	20.17	30.28	0.00	0.00
LBC	13	29.53	20.00	20.18	30.30	0.00	0.00
LBC	14	29.54	20.01	20.18	30.28	0.00	0.00
LBC	15	29.52	20.02	20.18	30.29	0.00	0.00
LBC	16	29.50	20.00	20.20	30.30	0.00	0.00
LBC	17	29.54	19.96	20.18	30.32	0.00	0.00
LBC	18	29.50	19.99	20.17	30.33	0.00	0.00
LBC	19	29.55	19.98	20.16	30.31	0.00	0.00
LBC	20	29.54	19.98	20.17	30.31	0.00	0.00
LBC	21	29.54	20.00	20.17	30.29	0.00	0.00
LBC	22	29.55	20.00	20.17	30.29	0.00	0.00
LBC	23	29.53	20.00	20.15	30.32	0.00	0.00
LBC	24	29.55	19.98	20.17	30.30	0.00	0.00
LBC	25	29.55	19.96	20.14	30.34	0.00	0.00
LBC	26	29.53	20.00	20.15	30.32	0.00	0.00
LBC	27	29.54	19.99	20.16	30.31	0.00	0.00
LBC	28	29.56	20.00	20.17	30.27	0.00	0.00
LBC	29	29.54	19.98	20.18	30.30	0.00	0.00
LBC	30	29.53	19.97	20.17	30.33	0.00	0.00
LBC	31	29.53	19.99	20.18	30.29	0.00	0.00
LBC	32	29.50	20.00	20.19	30.31	0.00	0.00
LBC	33	29.53	20.00	20.16	30.31	0.00	0.00
LBC	34	29.49	20.00	20.19	30.32	0.00	0.00
LBC	35	29.53	20.02	20.16	30.29	0.00	0.00
LBC	36	29.54	19.99	20.15	30.31	0.00	0.00
LBC	37	29.53	20.00	20.16	30.31	0.00	0.00
LBC	38	29.51	20.01	20.20	30.29	0.00	0.00
LBC	39	29.52	20.03	20.18	30.27	0.00	0.00
LBC	40	29.48	20.04	20.17	30.31	0.00	0.00
LBC	41	29.51	20.01	20.16	30.31	0.00	0.00
LBC	42	29.54	20.00	20.16	30.30	0.00	0.00
LBC	43	29.52	20.00	20.19	30.30	0.00	0.00
LBC	44	29.53	19.98	20.20	30.29	0.00	0.00
LBC	45	29.50	20.00	20.16	30.33	0.00	0.00
LBC	46	29.50	20.02	20.15	30.33	0.00	0.00
LBC	47	29.51	20.00	20.14	30.35	0.00	0.00
LBC	48	29.50	19.99	20.16	30.35	0.00	0.00
LBC	49	29.51	20.03	20.13	30.33	0.00	0.00
LBC	50	29.54	19.98	20.16	30.32	0.00	0.00
LBC	51	29.50	20.02	20.19	30.29	0.00	0.00
LBC	52	29.48	20.04	20.19	30.30	0.00	0.00
LBC	53	29.53	19.99	20.17	30.31	0.00	0.00
LBC	54	29.53	19.98	20.18	30.32	0.00	0.00
LBC	55	29.47	20.02	20.18	30.32	0.00	0.00
LBC	56	29.49	20.02	20.19	30.31	0.00	0.00
LBC	57	29.50	19.98	20.18	30.34	0.00	0.00
LBC	58	29.48	19.99	20.19	30.34	0.00	0.00
LBC	59	29.48	19.99	20.18	30.35	0.00	0.00
LBC	60	29.53	20.01	20.14	30.33	0.00	0.00
LBC	61	29.52	19.97	20.16	30.35	0.00	0.00
LBC	62	29.51	20.00	20.16	30.33	0.00	0.00
LBC	63	29.51	19.97	20.17	30.36	0.00	0.00
LBC	64	29.52	19.98	20.16	30.35	0.00	0.00
LBC	65	29.52	20.00	20.17	30.32	0.00	0.00
LBC	66	29.50	19.99	20.17	30.34	0.00	0.00
LBC	67	29.53	19.96	20.19	30.31	0.00	0.00
LBC	68	29.53	19.98	20.20	30.30	0.00	0.00
LBC	69	29.51	19.98	20.21	30.30	0.00	0.00
LBC	70	29.51	20.00	20.20	30.29	0.00	0.00
LBC	71	29.50	20.02	20.16	30.31	0.00	0.00
LBC	72	29.50	20.01	20.18	30.31	0.00	0.00
LBC	73	29.50	20.00	20.19	30.31	0.00	0.00
LBC	74	29.50	20.02	20.17	30.31	0.00	0.00
LBC	75	29.50	20.01	20.17	30.31	0.00	0.00
# ACGT raw counters for last fragments. Use `grep ^LTC | cut -f 2-` to extract this part. The columns are: A,C,G,T,N base counters
LTC	10224867	6927165	6986641	10499552	0
# Insert sizes. Use `grep ^IS | cut -f 2-` to extract this part. The columns are: insert size, pairs total, inward oriented pairs, outward oriented pairs, other pairs
IS	0	0	0	0	0
IS	1	0	0	0	0
IS	2	0	0	0	0
IS	3	0	0	0	0
IS	4	0	0	0	0
IS	5	0	0	0	0
IS	6	0	0	0	0
IS	7	0	0	0	0
IS	8	0	0	0	0
IS	9	0	0	0	0
IS	10	0	0	0	0
IS	11	0	0	0	0
IS	12	0	0	0	0
IS	13	0	0	0	0
IS	14	0	0	0	0
IS	15	0	0	0	0
IS	16	0	0	0	0
IS	17	0	0	0	0
IS	18	0	0	0	0
IS	19	0	0	0	0
IS	20	0	0	0	0
IS	21	0	0	0	0
IS	22	0	0	0	0
IS	23	0	0	0	0
IS	24	0	0	0	0
IS	25	0	0	0	0
IS	26	0	0	0	0
IS	27	0	0	0	0
IS	28	0	0	0	0
IS	29	0	0	0	0
IS	30	0	0	0	0
IS	31	0	0	0	0
IS	32	0	0	0	0
IS	33	0	0	0	0
IS	34	0	0	0	0
IS	35	0	0	0	0
IS	36	0	0	0	0
IS	37	0	0	0	0
IS	38	0	0	0	0
IS	39	0	0	0	0
IS	40	0	0	0	0
IS	41	0	0	0	0
IS	42	0	0	0	0
IS	43	0	0	0	0
IS	44	0	0	0	0
IS	45	0	0	0	0
IS	46	0	0	0	0
IS	47	0	0	0	0
IS	48	0	0	0	0
IS	49	0	0	0	0
IS	50	0	0	0	0
IS	51	0	0	0	0
IS	52	0	0	0	0
IS	53	0	0	0	0
IS	54	0	0	0	0
IS	55	0	0	0	0
IS	56	0	0	0	0
IS	57	0	0	0	0
IS	58	0	0	0	0
IS	59	0	0	0	0
IS	60	0	0	0	0
IS	61	0	0	0	0
IS	62	0	0	0	0
IS	63	0	0	0	0
IS	64	0	0	0	0
IS	65	0	0	0	0
IS	66	0	0	0	0
IS	67	0	0	0	0
IS	68	0	0	0	0
IS	69	0	0	0	0
IS	70	0	0	0	0
IS	71	0	0	0	0
IS	72	0	0	0	0
IS	73	0	0	0	0
IS	74	0	0	0	0
IS	75	461843	447057	14786	0
# Read lengths. Use `grep ^RL | cut -f 2-` to extract this part. The columns are: read length, count
RL	75	923686
# Read lengths - first fragments. Use `grep ^FRL | cut -f 2-` to extract this part. The columns are: read length, count
FRL	75	461843
# Read lengths - last fragments. Use `grep ^LRL | cut -f 2-` to extract this part. The columns are: read length, count
LRL	75	461843
# Indel distribution. Use `grep ^ID | cut -f 2-` to extract this part. The columns are: length, number of insertions, number of deletions
ID	1	66	66
ID	2	48	48
ID	3	4	6
ID	4	8	10
ID	7	0	2
ID	10	0	2
# Indels per cycle. Use `grep ^IC | cut -f 2-` to extract this part. The columns are: cycle, number of insertions (fwd), .. (rev) , number of deletions (fwd), .. (rev)
IC	4	1	0	1	0
IC	5	1	1	1	0
IC	6	0	2	1	0
IC	7	1	1	0	0
IC	8	1	0	1	0
IC	9	0	1	0	0
IC	10	0	1	1	1
IC	11	0	0	2	0
IC	12	1	0	1	1
IC	13	1	0	1	0
IC	14	1	0	1	0
IC	15	1	2	1	0
IC	16	1	0	0	0
IC	17	0	2	1	1
IC	18	1	2	1	1
IC	19	2	0	1	1
IC	20	2	0	1	0
IC	21	2	1	1	0
IC	22	1	1	0	1
IC	23	1	1	0	0
IC	24	0	2	1	1
IC	25	0	1	1	0
IC	26	1	0	3	0
IC	27	2	3	2	1
IC	28	2	0	2	1
IC	29	2	1	1	2
IC	30	2	1	3	3
IC	31	2	1	4	2
IC	32	2	1	2	1
IC	33	2	1	2	3
IC	34	1	0	1	3
IC	35	1	0	0	2
IC	36	1	0	2	1
IC	37	0	1	0	1
IC	38	0	0	1	0
IC	39	1	0	1	2
IC	40	0	1	2	0
IC	41	0	1	3	1
IC	42	0	1	3	2
IC	43	1	2	1	2
IC	44	1	3	2	4
IC	45	1	2	3	3
IC	46	1	3	2	1
IC	47	1	2	1	2
IC	48	2	1	1	2
IC	49	2	1	0	3
IC	50	1	1	0	1
IC	51	2	1	1	1
IC	53	1	1	1	0
IC	54	1	1	0	1
IC	55	1	2	0	1
IC	56	0	2	1	1
IC	57	0	2	1	1
IC	58	2	0	1	1
IC	59	1	1	0	0
IC	60	1	1	0	1
IC	61	1	1	0	1
IC	62	0	1	0	1
IC	63	0	1	1	1
IC	64	0	0	0	2
IC	65	1	0	1	1
IC	67	1	1	0	1
IC	68	0	1	0	0
IC	69	2	0	0	1
IC	70	2	0	0	1
IC	71	0	1	0	1
IC	72	0	1	0	0
# Coverage distribution. Use `grep ^COV | cut -f 2-` to extract this part.
COV	[2-2]	2	298
COV	[4-4]	4	216
COV	[6-6]	6	192
COV	[8-8]	8	210
COV	[10-10]	10	216
COV	[12-12]	12	245
COV	[14-14]	14	212
COV	[16-16]	16	234
COV	[18-18]	18	212
COV	[20-20]	20	203
COV	[22-22]	22	246
COV	[24-24]	24	224
COV	[26-26]	26	209
COV	[28-28]	28	206
COV	[30-30]	30	231
COV	[32-32]	32	342
COV	[34-34]	34	295
COV	[36-36]	36	312
COV	[38-38]	38	257
COV	[40-40]	40	322
COV	[42-42]	42	260
COV	[44-44]	44	259
COV	[46-46]	46	307
COV	[48-48]	48	299
COV	[50-50]	50	279
COV	[52-52]	52	274
COV	[54-54]	54	311
COV	[56-56]	56	362
COV	[58-58]	58	358
COV	[60-60]	60	322
COV	[62-62]	62	292
COV	[64-64]	64	364
COV	[66-66]	66	361
COV	[68-68]	68	378
COV	[70-70]	70	323
COV	[72-72]	72	324
COV	[74-74]	74	476
COV	[76-76]	76	462
COV	[78-78]	78	389
COV	[80-80]	80	382
COV	[82-82]	82	530
COV	[84-84]	84	515
COV	[86-86]	86	459
COV	[88-88]	88	515
COV	[90-90]	90	609
COV	[92-92]	92	631
COV	[94-94]	94	732
COV	[96-96]	96	751
COV	[98-98]	98	588
COV	[100-100]	100	816
COV	[102-102]	102	782
COV	[104-104]	104	1109
COV	[106-106]	106	1197
COV	[108-108]	108	1134
COV	[110-110]	110	1211
COV	[112-112]	112	1149
COV	[114-114]	114	1612
COV	[116-116]	116	1794
COV	[118-118]	118	1364
COV	[120-120]	120	1578
COV	[122-122]	122	2141
COV	[124-124]	124	2087
COV	[126-126]	126	2221
COV	[128-128]	128	2394
COV	[130-130]	130	2625
COV	[132-132]	132	3378
COV	[134-134]	134	3359
COV	[136-136]	136	3722
COV	[138-138]	138	3721
COV	[140-140]	140	4404
COV	[142-142]	142	5292
COV	[144-144]	144	8548
COV	[146-146]	146	19285
COV	[148-148]	148	88048
COV	[150-150]	150	299482
# GC-depth. Use `grep ^GCD | cut -f 2-` to extract this part. The columns are: GC%, unique sequence percentiles, 10th, 25th, 50th, 75th and 90th depth percentile
GCD	0.0	7.692	0.000	0.000	0.000	0.000	0.000
GCD	35.0	11.538	136.327	136.327	136.327	136.327	136.327
GCD	36.0	15.385	145.837	145.837	145.837	145.837	145.837
GCD	37.0	19.231	146.745	146.745	146.745	146.745	146.745
GCD	38.0	30.769	133.350	133.350	134.122	137.932	137.932
GCD	39.0	42.308	134.423	134.423	134.438	139.568	139.568
GCD	40.0	65.385	127.785	131.149	141.769	147.812	148.133
GCD	41.0	76.923	119.775	119.775	126.503	144.878	144.878
GCD	42.0	80.769	144.128	144.128	144.128	144.128	144.128
GCD	43.0	88.462	143.663	143.663	143.786	143.910	143.910
GCD	44.0	96.154	143.557	143.557	144.413	145.268	145.268
GCD	45.0	100.000	139.102	139.102	139.102	139.102	139.102
